Date,Hawthorn
31-Oct-07,0.64
02-Nov-07,0.62
04-Nov-07,0.66
06-Nov-07,0.70
08-Nov-07,0.77
10-Nov-07,0.78
12-Nov-07,0.76
14-Nov-07,0.78
16-Nov-07,0.73
18-Nov-07,0.82
20-Nov-07,0.84
22-Nov-07,0.87
24-Nov-07,0.79
26-Nov-07,0.75
28-Nov-07,0.81
30-Nov-07,0.90
02-Dec-07,0.97
04-Dec-07,0.90
06-Dec-07,0.93
08-Dec-07,0.98
10-Dec-07,0.93
12-Dec-07,0.75
14-Dec-07,0.70
16-Dec-07,0.66
18-Dec-07,0.62
20-Dec-07,0.61
22-Dec-07,0.67
24-Dec-07,0.70
26-Dec-07,0.72
28-Dec-07,0.74
30-Dec-07,0.71
01-Jan-08,0.71
03-Jan-08,0.79
05-Jan-08,0.89
07-Jan-08,0.87
09-Jan-08,0.88
11-Jan-08,0.90
13-Jan-08,0.87
15-Jan-08,0.93
17-Jan-08,0.86
19-Jan-08,0.79
21-Jan-08,0.77
23-Jan-08,0.75
25-Jan-08,0.74
27-Jan-08,0.72
29-Jan-08,0.75
31-Jan-08,0.90
02-Feb-08,0.92
04-Feb-08,0.99
06-Feb-08,0.89
08-Feb-08,0.80
10-Feb-08,0.75
12-Feb-08,0.70
14-Feb-08,0.65
16-Feb-08,0.65
19-Mar-08,0.67
21-Mar-08,0.81
23-Mar-08,0.77
25-Mar-08,0.76
27-Mar-08,0.75
29-Mar-08,0.76
31-Mar-08,0.69
02-Apr-08,0.59
04-Apr-08,0.53
06-Apr-08,0.61
08-Apr-08,0.64
10-Apr-08,0.66
12-Apr-08,0.65
14-Apr-08,0.53
16-Apr-08,0.47
18-Apr-08,0.53
20-Apr-08,0.52
22-Apr-08,0.49
24-Apr-08,0.46
26-Apr-08,0.46
28-Apr-08,0.56
30-Apr-08,0.64
02-May-08,0.55
04-May-08,0.50
06-May-08,0.48
08-May-08,0.53
10-May-08,0.56
12-May-08,0.55
14-May-08,0.58
16-May-08,0.64
18-May-08,0.65
20-May-08,0.65
22-May-08,0.68
24-May-08,0.70
26-May-08,0.71
28-May-08,0.78
30-May-08,0.77
01-Jun-08,0.77
03-Jun-08,0.78
05-Jun-08,0.76
07-Jun-08,0.73
09-Jun-08,0.69
11-Jun-08,0.70
13-Jun-08,0.73
15-Jun-08,0.77
17-Jun-08,0.80
19-Jun-08,0.86
21-Jun-08,0.84
23-Jun-08,0.87
25-Jun-08,0.88
27-Jun-08,0.94
29-Jun-08,0.95
01-Jul-08,0.96
03-Jul-08,1.00
05-Jul-08,1.02
07-Jul-08,1.13
09-Jul-08,1.10
11-Jul-08,1.14
13-Jul-08,1.11
15-Jul-08,1.06
17-Jul-08,1.11
19-Jul-08,1.17
21-Jul-08,1.10
23-Jul-08,1.06
25-Jul-08,1.08
27-Jul-08,1.06
29-Jul-08,1.07
31-Jul-08,1.08
02-Aug-08,1.12
04-Aug-08,1.11
06-Aug-08,1.09
08-Aug-08,1.08
10-Aug-08,1.12
12-Aug-08,1.14
14-Aug-08,1.08
16-Aug-08,1.03
18-Aug-08,1.07
20-Aug-08,1.04
22-Aug-08,0.97
24-Aug-08,0.98
26-Aug-08,0.94
28-Aug-08,0.90
30-Aug-08,
01-Sep-08,0.83
03-Sep-08,0.88
05-Sep-08,0.88
07-Sep-08,0.84
09-Sep-08,0.79
11-Sep-08,0.80
13-Sep-08,0.74
15-Sep-08,0.69
17-Sep-08,0.71
19-Sep-08,0.71
21-Sep-08,0.70
23-Sep-08,0.70
25-Sep-08,0.69
27-Sep-08,0.73
29-Sep-08,0.86
01-Oct-08,1.03
03-Oct-08,1.03
05-Oct-08,1.10
07-Oct-08,1.10
09-Oct-08,1.03
11-Oct-08,1.06
13-Oct-08,1.11
15-Oct-08,1.16
17-Oct-08,1.17
19-Oct-08,1.21
21-Oct-08,1.26
23-Oct-08,1.23
25-Oct-08,1.24
27-Oct-08,1.32
29-Oct-08,1.35
31-Oct-08,1.36
02-Nov-08,1.33
04-Nov-08,1.34
06-Nov-08,1.40
08-Nov-08,1.50
10-Nov-08,1.58
12-Nov-08,1.55
14-Nov-08,1.51
16-Nov-08,1.47
18-Nov-08,1.53
20-Nov-08,1.55
22-Nov-08,1.51
24-Nov-08,1.54
26-Nov-08,1.42
28-Nov-08,1.51
30-Nov-08,1.57
02-Dec-08,1.59
04-Dec-08,1.61
06-Dec-08,1.41
08-Dec-08,1.23
10-Dec-08,1.14
12-Dec-08,1.09
14-Dec-08,1.10
16-Dec-08,1.01
18-Dec-08,0.95
20-Dec-08,0.93
22-Dec-08,0.89
24-Dec-08,0.87
26-Dec-08,0.86
28-Dec-08,0.93
30-Dec-08,1.01
01-Jan-09,1.09
02-Jan-09,1.11
03-Jan-09,1.18
04-Jan-09,1.24
05-Jan-09,1.23
06-Jan-09,1.29
07-Jan-09,1.32
08-Jan-09,1.34
09-Jan-09,1.38
10-Jan-09,1.45
11-Jan-09,1.53
12-Jan-09,1.57
13-Jan-09,1.57
14-Jan-09,1.55
15-Jan-09,1.51
16-Jan-09,1.51
17-Jan-09,1.49
18-Jan-09,1.43
19-Jan-09,1.41
20-Jan-09,1.26
21-Jan-09,1.15
22-Jan-09,1.11
23-Jan-09,1.06
24-Jan-09,1.01
25-Jan-09,1.01
26-Jan-09,0.93
27-Jan-09,0.90
28-Jan-09,0.83
29-Jan-09,0.78
30-Jan-09,0.72
31-Jan-09,0.66
01-Feb-09,0.62
02-Feb-09,0.66
03-Feb-09,0.67
04-Feb-09,0.71
05-Feb-09,0.75
06-Feb-09,0.79
07-Feb-09,0.78
08-Feb-09,0.80
09-Feb-09,0.86
10-Feb-09,0.83
11-Feb-09,0.79
12-Feb-09,0.81
13-Feb-09,0.82
14-Feb-09,0.84
15-Feb-09,0.88
16-Feb-09,0.93
17-Feb-09,0.94
18-Feb-09,0.98
19-Feb-09,1.01
20-Feb-09,1.03
21-Feb-09,1.09
22-Feb-09,1.14
23-Feb-09,1.17
24-Feb-09,1.20
25-Feb-09,1.26
26-Feb-09,1.32
27-Feb-09,1.36
28-Feb-09,1.43
01-Mar-09,1.47
02-Mar-09,1.50
03-Mar-09,1.64
04-Mar-09,1.69
05-Mar-09,1.66
06-Mar-09,1.64
07-Mar-09,1.69
08-Mar-09,1.74
09-Mar-09,1.70
10-Mar-09,1.67
11-Mar-09,1.65
12-Mar-09,1.66
13-Mar-09,1.69
14-Mar-09,1.68
15-Mar-09,1.61
16-Mar-09,1.60
17-Mar-09,1.58
18-Mar-09,1.60
19-Mar-09,1.61
20-Mar-09,1.62
21-Mar-09,1.63
22-Mar-09,1.68
23-Mar-09,1.75
24-Mar-09,1.79
25-Mar-09,1.84
26-Mar-09,1.90
27-Mar-09,1.92
28-Mar-09,1.83
29-Mar-09,1.75
30-Mar-09,1.66
31-Mar-09,1.59
01-Apr-09,1.56
02-Apr-09,1.54
03-Apr-09,1.54
04-Apr-09,1.47
05-Apr-09,1.41
06-Apr-09,1.45
07-Apr-09,1.45
08-Apr-09,1.41
09-Apr-09,1.39
10-Apr-09,1.37
11-Apr-09,1.32
12-Apr-09,1.28
13-Apr-09,1.28
14-Apr-09,1.26
15-Apr-09,1.24
16-Apr-09,1.23
17-Apr-09,1.21
18-Apr-09,1.19
19-Apr-09,1.19
20-Apr-09,1.18
21-Apr-09,1.15
22-Apr-09,1.13
23-Apr-09,1.12
24-Apr-09,1.15
25-Apr-09,1.15
26-Apr-09,1.17
27-Apr-09,1.20
28-Apr-09,1.16
29-Apr-09,1.09
30-Apr-09,1.01
01-May-09,0.93
02-May-09,0.85
03-May-09,0.82
04-May-09,0.80
05-May-09,0.78
06-May-09,0.75
07-May-09,0.74
08-May-09,0.67
09-May-09,0.59
10-May-09,0.47
11-May-09,0.38
12-May-09,0.37
13-May-09,0.37
14-May-09,0.40
15-May-09,0.47
16-May-09,0.49
17-May-09,0.52
18-May-09,0.54
19-May-09,0.55
20-May-09,0.58
21-May-09,0.64
22-May-09,0.66
23-May-09,0.68
24-May-09,0.69
25-May-09,0.75
26-May-09,0.79
27-May-09,0.80
28-May-09,0.75
29-May-09,0.76
30-May-09,0.78
31-May-09,0.79
01-Jun-09,0.80
02-Jun-09,0.80
03-Jun-09,0.81
04-Jun-09,0.84
05-Jun-09,0.88
06-Jun-09,0.88
07-Jun-09,0.86
08-Jun-09,0.83
09-Jun-09,0.82
10-Jun-09,0.81
11-Jun-09,0.86
12-Jun-09,0.82
13-Jun-09,0.81
14-Jun-09,0.80
15-Jun-09,0.80
16-Jun-09,0.77
17-Jun-09,0.79
18-Jun-09,0.74
19-Jun-09,0.67
20-Jun-09,0.59
21-Jun-09,0.51
22-Jun-09,0.43
23-Jun-09,0.36
24-Jun-09,0.34
25-Jun-09,0.34
26-Jun-09,0.32
27-Jun-09,0.27
28-Jun-09,0.23
29-Jun-09,0.19
30-Jun-09,0.16
01-Jul-09,0.15
02-Jul-09,0.18
03-Jul-09,0.24
04-Jul-09,0.26
05-Jul-09,0.29
06-Jul-09,0.34
07-Jul-09,0.33
08-Jul-09,0.30
09-Jul-09,0.29
10-Jul-09,0.28
11-Jul-09,0.29
12-Jul-09,0.31
13-Jul-09,0.32
14-Jul-09,0.34
15-Jul-09,0.37
16-Jul-09,0.42
17-Jul-09,0.55
18-Jul-09,0.57
19-Jul-09,0.58
20-Jul-09,0.59
21-Jul-09,0.68
22-Jul-09,0.74
23-Jul-09,0.75
24-Jul-09,0.73
25-Jul-09,0.72
26-Jul-09,0.79
27-Jul-09,0.82
28-Jul-09,0.84
29-Jul-09,0.87
30-Jul-09,0.85
31-Jul-09,0.88
01-Aug-09,0.94
02-Aug-09,0.94
03-Aug-09,0.94
04-Aug-09,0.93
05-Aug-09,0.91
06-Aug-09,0.89
07-Aug-09,0.88
08-Aug-09,0.85
09-Aug-09,0.85
10-Aug-09,0.85
11-Aug-09,0.82
12-Aug-09,0.83
13-Aug-09,0.84
14-Aug-09,0.90
15-Aug-09,0.90
16-Aug-09,0.87
17-Aug-09,0.75
18-Aug-09,0.70
19-Aug-09,0.70
20-Aug-09,0.69
21-Aug-09,0.64
22-Aug-09,0.61
23-Aug-09,0.66
24-Aug-09,0.70
25-Aug-09,0.68
26-Aug-09,0.68
27-Aug-09,0.66
28-Aug-09,0.63
29-Aug-09,0.59
30-Aug-09,0.58
31-Aug-09,0.61
01-Sep-09,0.60
02-Sep-09,0.61
03-Sep-09,0.63
04-Sep-09,0.54
05-Sep-09,0.49
06-Sep-09,0.51
07-Sep-09,0.52
08-Sep-09,0.53
09-Sep-09,0.47
10-Sep-09,0.46
11-Sep-09,0.51
12-Sep-09,0.56
13-Sep-09,0.59
14-Sep-09,0.62
15-Sep-09,0.66
16-Sep-09,0.69
17-Sep-09,0.73
18-Sep-09,0.78
19-Sep-09,0.79
20-Sep-09,0.77
21-Sep-09,0.78
22-Sep-09,0.75
23-Sep-09,0.73
24-Sep-09,0.70
25-Sep-09,0.69
26-Sep-09,0.68
27-Sep-09,0.69
28-Sep-09,0.70
29-Sep-09,0.70
30-Sep-09,0.71
01-Oct-09,0.69
01-Oct-09,0.69
02-Oct-09,0.72
02-Oct-09,0.72
03-Oct-09,0.76
03-Oct-09,0.76
04-Oct-09,0.70
04-Oct-09,0.70
05-Oct-09,0.70
05-Oct-09,0.70
06-Oct-09,0.72
06-Oct-09,0.72
07-Oct-09,0.67
07-Oct-09,0.67
08-Oct-09,0.62
08-Oct-09,0.62
09-Oct-09,0.63
