Site	Measurement_location	Sub_Site_Number	Coal	Region	Easting	Northing	Type_of_site	Type_of_measurement	Start_Date	End_Date	Minimum_Temperature_(_C)	Average_Temperature__(_C)_	Maximum_Temperature_(_C)	Approx._Ave._Flow_Rate_(L/s)	Approx._Depth_to_water_(mBGL)	Approx._Depth_of_Sensor_(mBGL)	Ave._Iron_(Total)_(mg/L)	Ave._EC_(us/cm_25_'C)	Ave._Chloride_(mg/L)	Ave._Sulphate_(mg/L)	Ave._pH	Comments	File_location_link
Graig_Fawr_(Celynen_North)	Shaft	512.1	Y	South_Wales	321223	197453	Shaft	Logger_data	03-Mar-09	28-Apr-10	12.0	12.9	13.2	47								Temperature_of_mine_water_discharge_at_weir_recorded	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Logger_Data\Graig_Fawr_(Celynen_North)
Hartington	Shaft_Log	424.10	Y	East_Midlands	443399	375377	Shaft	ECT_Log_2017	17-May-17	17-May-17	14.2	14.4	15.0									Range_of_log_from_75.6mBGL_to_228mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Hartington_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2008	2008	2008	12.2	18.0	19.5									Range_of_log_from_-15.50mAOD_to_-316.30mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2006	2006	2006	16.2	17.2	19.0									Range_of_log_from-11.8mAOD_to_-342.64mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2005	2005	2005	14.8	16.7	18.6									Range_of_log_from_-13.55mAOD_to_-316.39mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_2004	2004	2004	13.9	16.0	17.0									Range_of_log_from_-16.94mAOD_to_-313.59mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_12/2003	01-Dec-03	01-Dec-03	13.0	14.7	18.2									Range_of_log_from_-16.44mAOD_to_-316.34mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Shaft_Log	40.1	Y	North_East	444225	541858	Pumped	ECT_Log_9/2003	01-Sep-03	01-Sep-03	10.8	13.8	18.1									Range_of_log_from_-17.84mAOD_to_-317.44mAOD	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Horden_Shaft
Horden	Cascade	40.45	Y	North_East	444370	542030	Pumped	Temperature_logger	26-May-16	24-Apr-19	5.3	16.3	17.7	40	N/A							Cascade_is_located_XXXm_from_shaft._Pipeline_is_part_buried_part_above_ground._Pump_at_approx_XXXmBGL._Depth_of_shaft_is_XXXm	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\Temperature_loggers\Horden_Cascade
Horden	Shaft	40.1	Y	North_East	444225	541858	Pumped	Logger_data	10-Aug-16	08-May-19	12.0	12.8	14.1		77							Logger_data_available_for_pre-2016_but_only_looked_at_last_years_worth_of_data_(small_periods_of_data_missing_-_highlighted_in_yellow)	J:\Environment\Technical_Team\STS_Coal_Loggers\Horden_L40
Joppa_Day_Level	Weir	315.1	Y	Scotland	331500	673512	Discharge	Water_Level_Logger	03-Aug-16	10-Mar-17	4.9	14.3	14.4										J:\Environment\Technical_Team\STS_Coal_Loggers\Joppa_Day_Level_L315
Kames	No_1_Shaft_	369.1	Y	Scotland	268481	626239	Passive	Temperature_Logger	17-Nov-09	03-Feb-12	8.0	13.0	13.3										J:\Environment\Technical_Team\STS_Coal_Loggers\Kames_L369
Karva	Borehole_	805.1	Y	East_Midlands_			Shaft_	Temperature_logger_	06-Sep-18	12-Jul-19	8.9	11.7	14.6									Data_taken_from_26/9/18_onwards_as_previous_data_contained_errors	J:\Environment\Technical_Team\STS_Coal_Loggers\Karva
Kingshill	Raw_Pipe_Outflow_(Point_A)	417.1	Y	Scotland	285512	657314	Discharge	On_Site_Testing	19-Aug-09	19-Aug-09		13.9									7		\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\On_Site_Spot_Readings
Langton	Shaft	451.1	Y	East_Midlands	447468	355059	Shaft	ECT_Log_2013	05-Nov-13	05-Nov-13	10.6	18.5	20.9									Range_of_log_from_101.6mBGL_to_425.0mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Langton_Shaft
Langton_	No.7_Shaft	451.1	Y	East_Midlands_	447468	355059	Shaft_	Water_level_logger	5th_May_2016	16-Jul-19	11.9	13.3	14.9		66								J:\Environment\Technical_Team\STS_Coal_Loggers\Langton_L451
Langwith	Shaft	761.1	Y	East_Midlands	452915	370692	Shaft	ECT_Log_2017	17-May-17	17-May-17	18.2	19.7	19.8									Range_of_log_from_219.1mBGL_to_269.1mBGL	J:\Environment\Environment_Department_Team_Folder\Temperature_Data\EC-T_Surveys\Langwith_Shaft
Lathallan_Milll	Upwelling_Discharge	610.1	Y	Scotland	346460	706300	Discharge	On_Site_Testing	09-Jul-95	09-Jul-95		11.3		16			11				6	Long-term_changes_in_the_quality_of_polluted_minewater_discharges_(1995)	\\infprod.tca\shared_folders\Environment\Environment_Department_Team_Folder\Temperature_Data\Public_(Non_CA)_Data
Leacroft_	Monitoring_Borehole	640.1	Y	West_Midlands_	400028	309714	Borehole_	ETC_Log_2019_	27-Jun-19	27-Jun-19	11.3	12.9	14.8									Range_of_log_from_5.01mbgl_to_147.8mbgl	J:\Environment\Technical_Team\Shaft_logging\Staffordshire\Leacroft_BH
Leven_4_BH	Borehole_water_level	633.1	Y	Scotland	336451	699870	Monitoring_borehole	Water_Level_Logger	10-Feb-11	10-May-12	11.673	11.90721774	15.4									Range_of_Log_from_10.61_to_12.75mAOD	J:\Environment\Technical_Team\STS_Coal_Loggers\Leven_4_BH_L633
Littleton_	Monitoring_Borehole	782.1	Y	West_Midlands_	397028	312532	Borehole_	ETC_Log_2019_	26-Jun-19	26-Jun-19	10.4	11.5	14.0									Range_of_log_from_122.5mbgl_to_202.16mbgl	J:\Environment\Technical_Team\Shaft_logging\Staffordshire\Littleton_BH
