DEPTH.M	:	0	Depth			
TEMP.DegC	:	1	Temperature			
CN25.mS/cm	:	2	Conductivity@25DegC			
COND.mS/cm	:	3	Conductivity			
DELT.DegC	:	4	Delta	T		
DELC.mS/cm	:	5	Delta	C		
NGAM.CPS	:	6	Natural	Gamma		

DEPTH	TEMP	CN25	COND	DELT	DELC	NGAM
49	11.97	7.95	1.2	1.8	-1.69	0
49.01	11.97	7.95	1.2	1.75	-1.68	0
49.02	11.97	7.95	1.2	1.7	-1.66	0
49.03	11.97	7.95	1.2	1.64	-1.62	0
49.04	11.97	7.95	1.2	1.57	-1.56	0
49.05	11.97	7.95	1.2	1.51	-1.5	0
49.06	11.97	7.95	1.2	1.44	-1.43	0
49.07	11.97	7.94	1.2	1.38	-1.37	0
49.08	11.98	7.95	1.2	1.31	-1.3	0
49.09	11.97	7.95	1.2	1.25	-1.24	0
49.1	11.97	7.95	1.2	1.19	-1.18	0
49.11	11.97	7.95	1.2	1.13	-1.12	0
49.12	11.97	7.95	1.2	1.08	-1.07	0
49.13	11.97	7.95	1.2	1.03	-1.02	0
49.14	11.97	7.95	1.2	0.98	-0.98	0
49.15	11.98	7.95	1.2	0.93	-0.92	0
49.16	11.98	7.95	1.2	0.88	-0.88	0
49.17	11.97	7.95	1.2	0.83	-0.83	0
49.18	11.97	7.95	1.2	0.79	-0.79	0
49.19	11.97	7.95	1.2	0.74	-0.74	0
49.2	11.97	7.95	1.2	0.7	-0.71	0
