Scotland_W Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 02/12/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
2004    6.6    7.0    8.6   11.2   14.8   16.1   16.9   18.7   15.4   11.1    9.3    7.9    6.86  11.53  17.26  11.91   11.98
2005    7.7    6.3    9.2   10.9   13.1   16.8   17.8   17.4   15.8   12.9    8.3    6.9    7.32  11.06  17.36  12.34   11.96
2006    6.2    6.6    6.5   10.2   13.9   17.5   20.7   17.4   17.0   13.7    9.4    7.6    6.54  10.20  18.55  13.36   12.25
2007    8.0    7.3    9.1   13.7   13.7   16.8   17.0   16.6   14.6   13.2    9.4    7.0    7.65  12.16  16.80  12.42   12.23
2008    6.9    8.0    7.6   10.3   16.4   15.9   18.0   17.0   14.7   11.0    8.2    5.8    7.32  11.44  17.01  11.27   11.67
2009    5.7    6.0    8.7   12.2   14.0   17.8   18.1   17.0   15.2   12.6    8.8    4.2    5.83  11.62  17.63  12.22   11.72
2010    3.5    4.3    8.0   11.4   13.7   18.1   17.0   16.9   15.6   12.0    6.4    2.3    4.00  11.04  17.35  11.35   10.81
2011    5.2    7.1    8.4   14.0   13.3   15.1   17.9   16.2   15.3   12.6   11.0    6.9    4.78  11.89  16.42  12.96   11.94
2012    6.5    7.0   11.1    9.8   14.5   15.0   16.4   17.9   13.9   10.4    7.9    6.0    6.78  11.82  16.45  10.74   11.38
2013    5.5    5.8    4.8    9.2   12.9   16.4   20.3   17.6   14.9   12.8    7.9    8.3    5.76   8.97  18.11  11.86   11.40
2014    6.4    6.6    8.8   12.2   14.1   17.4   19.5   16.4   16.9   12.8    9.7    6.8    7.11  11.70  17.76  13.12   12.32
2015    5.8    6.1    8.0   11.3   11.7   15.2   16.3   17.0   15.2   12.8    9.6    9.1    6.25  10.34  16.17  12.56   11.55
2016    6.2    6.1    8.5    9.6   15.2   17.5   16.8   17.6   16.2   12.5    7.1    8.8    7.15  11.14  17.29  11.95   11.87
2017    6.7    7.1    9.6   10.7   16.1   16.0   17.1   16.6   14.6   12.9    7.7    6.3    7.56  12.14  16.58  11.77   11.82
2018    5.4    5.2    5.9   10.4   16.0   18.9   19.7   16.7   14.2   11.8    9.4    7.5    5.65  10.76  18.43  11.77   11.79
2019    6.0    8.9    8.5   12.2   13.4   16.4   18.7   18.0   15.4   11.0    7.0           7.43  11.37  17.74  11.11
