x,T,,,,,,
6.18E-01,1.76E-08,,,,,,
6.19E-01,1.64E-08,,,,,,
6.20E-01,1.54E-08,,,,,,
6.21E-01,1.44E-08,,,,,,
6.22E-01,1.34E-08,,,,,,
6.23E-01,1.25E-08,,,,,,
6.24E-01,1.17E-08,,,,,,
6.25E-01,1.09E-08,,,,,,
6.26E-01,1.02E-08,,,,,,
6.27E-01,9.54E-09,,,,,,
6.28E-01,8.91E-09,,,,,,
6.29E-01,8.32E-09,,,,,,
6.30E-01,7.77E-09,,,,,,
6.31E-01,7.25E-09,,,,,,
6.32E-01,6.77E-09,,,,,,
6.33E-01,6.32E-09,,,,,,
6.34E-01,5.90E-09,,,,,,
6.35E-01,5.50E-09,,,,,,
6.36E-01,5.14E-09,,,,,,
6.37E-01,4.79E-09,,,,,,
6.38E-01,4.47E-09,,,,,,
6.39E-01,4.17E-09,,,,,,
6.40E-01,3.89E-09,,,,,,
6.41E-01,3.63E-09,,,,,,
6.42E-01,3.38E-09,,,,,,
6.43E-01,3.15E-09,,,,,,
6.44E-01,2.94E-09,,,,,,
6.45E-01,2.74E-09,,,,,,
6.46E-01,2.55E-09,,,,,,
6.47E-01,2.38E-09,,,,,,
6.48E-01,2.22E-09,,,,,,
6.49E-01,2.07E-09,,,,,,
6.50E-01,1.93E-09,,,,,,
6.51E-01,1.79E-09,,,,,,
6.52E-01,1.67E-09,,,,,,
6.53E-01,1.56E-09,,,,,,
6.54E-01,1.45E-09,,,,,,
6.55E-01,1.35E-09,,,,,,
6.56E-01,1.26E-09,,,,,,
6.57E-01,1.17E-09,,,,,,
6.58E-01,1.09E-09,,,,,,
6.59E-01,1.01E-09,,,,,,
6.60E-01,9.43E-10,,,,,,
6.61E-01,8.78E-10,,,,,,
6.62E-01,8.17E-10,,,,,,
6.63E-01,7.60E-10,,,,,,
6.64E-01,7.07E-10,,,,,,
6.65E-01,6.58E-10,,,,,,
6.66E-01,6.12E-10,,,,,,
6.67E-01,5.69E-10,,,,,,
6.68E-01,5.29E-10,,,,,,
6.69E-01,4.92E-10,,,,,,
6.70E-01,4.58E-10,,,,,,
6.71E-01,4.25E-10,,,,,,
6.72E-01,3.95E-10,,,,,,
6.73E-01,3.67E-10,,,,,,
6.74E-01,3.42E-10,,,,,,
6.75E-01,3.17E-10,,,,,,
6.76E-01,2.95E-10,,,,,,
6.77E-01,2.74E-10,,,,,,
6.78E-01,2.54E-10,,,,,,
6.79E-01,2.36E-10,,,,,,
6.80E-01,2.20E-10,,,,,,
6.81E-01,2.04E-10,,,,,,
6.82E-01,1.89E-10,,,,,,
6.83E-01,1.76E-10,,,,,,
6.84E-01,1.63E-10,,,,,,
6.85E-01,1.51E-10,,,,,,
6.86E-01,1.41E-10,,,,,,
6.87E-01,1.30E-10,,,,,,
6.88E-01,1.21E-10,,,,,,
6.89E-01,1.12E-10,,,,,,
