x,T,,,
5.79E-01,4.14E-10,,,
5.80E-01,3.90E-10,,,
5.81E-01,3.67E-10,,,
5.82E-01,3.45E-10,,,
5.83E-01,3.25E-10,,,
5.84E-01,3.06E-10,,,
5.85E-01,2.88E-10,,,
5.86E-01,2.71E-10,,,
5.87E-01,2.55E-10,,,
5.88E-01,2.40E-10,,,
5.89E-01,2.26E-10,,,
5.90E-01,2.12E-10,,,
5.91E-01,2.00E-10,,,
5.92E-01,1.88E-10,,,
5.93E-01,1.77E-10,,,
5.94E-01,1.66E-10,,,
5.95E-01,1.56E-10,,,
5.96E-01,1.47E-10,,,
5.97E-01,1.38E-10,,,
5.98E-01,1.30E-10,,,
5.99E-01,1.22E-10,,,
6.00E-01,1.15E-10,,,
6.01E-01,1.08E-10,,,
6.02E-01,1.01E-10,,,
6.03E-01,9.49E-11,,,
6.04E-01,8.92E-11,,,
6.05E-01,8.37E-11,,,
6.06E-01,7.86E-11,,,
6.07E-01,7.38E-11,,,
6.08E-01,6.93E-11,,,
6.09E-01,6.51E-11,,,
6.10E-01,6.11E-11,,,
6.11E-01,5.73E-11,,,
6.12E-01,5.38E-11,,,
6.13E-01,5.05E-11,,,
6.14E-01,4.73E-11,,,
6.15E-01,4.44E-11,,,
6.16E-01,4.17E-11,,,
6.17E-01,3.91E-11,,,
6.18E-01,3.66E-11,,,
6.19E-01,3.44E-11,,,
6.20E-01,3.22E-11,,,
6.21E-01,3.02E-11,,,
6.22E-01,2.83E-11,,,
6.23E-01,2.65E-11,,,
6.24E-01,2.49E-11,,,
6.25E-01,2.33E-11,,,
6.26E-01,2.18E-11,,,
6.27E-01,2.05E-11,,,
6.28E-01,1.92E-11,,,
6.29E-01,1.79E-11,,,
6.30E-01,1.68E-11,,,
6.31E-01,1.57E-11,,,
6.32E-01,1.47E-11,,,
6.33E-01,1.38E-11,,,
6.34E-01,1.29E-11,,,
6.35E-01,1.21E-11,,,
6.36E-01,1.13E-11,,,
6.37E-01,1.06E-11,,,
6.38E-01,9.91E-12,,,
6.39E-01,9.27E-12,,,
6.40E-01,8.67E-12,,,
6.41E-01,8.11E-12,,,
6.42E-01,7.59E-12,,,
6.43E-01,7.10E-12,,,
6.44E-01,6.64E-12,,,
6.45E-01,6.21E-12,,,
6.46E-01,5.80E-12,,,
6.47E-01,5.42E-12,,,
6.48E-01,5.07E-12,,,
6.49E-01,4.74E-12,,,
6.50E-01,4.43E-12,,,
6.51E-01,4.14E-12,,,
6.52E-01,3.87E-12,,,
6.53E-01,3.61E-12,,,
6.54E-01,3.37E-12,,,
6.55E-01,3.15E-12,,,
6.56E-01,2.94E-12,,,
6.57E-01,2.75E-12,,,
6.58E-01,2.57E-12,,,
6.59E-01,2.40E-12,,,
6.60E-01,2.24E-12,,,
6.61E-01,2.09E-12,,,
6.62E-01,1.95E-12,,,
6.63E-01,1.82E-12,,,
6.64E-01,1.70E-12,,,
6.65E-01,1.58E-12,,,
6.66E-01,1.48E-12,,,
6.67E-01,1.38E-12,,,
6.68E-01,1.28E-12,,,
6.69E-01,1.20E-12,,,
6.70E-01,1.12E-12,,,
6.71E-01,1.04E-12,,,
6.72E-01,9.71E-13,,,
6.73E-01,9.05E-13,,,
6.74E-01,8.43E-13,,,
6.75E-01,7.86E-13,,,
6.76E-01,7.32E-13,,,
6.77E-01,6.82E-13,,,
6.78E-01,6.36E-13,,,
6.79E-01,5.92E-13,,,
6.80E-01,5.52E-13,,,
6.81E-01,5.14E-13,,,
6.82E-01,4.78E-13,,,
6.83E-01,4.45E-13,,,
6.84E-01,4.15E-13,,,
6.85E-01,3.86E-13,,,
6.86E-01,3.59E-13,,,
6.87E-01,3.35E-13,,,
6.88E-01,3.11E-13,,,
6.89E-01,2.90E-13,,,
6.90E-01,2.70E-13,,,
6.91E-01,2.51E-13,,,
6.92E-01,2.33E-13,,,
6.93E-01,2.17E-13,,,
6.94E-01,2.02E-13,,,
6.95E-01,1.88E-13,,,
6.96E-01,1.74E-13,,,
6.97E-01,1.62E-13,,,
6.98E-01,1.51E-13,,,
6.99E-01,1.40E-13,,,
7.00E-01,1.30E-13,,,
7.01E-01,1.21E-13,,,
7.02E-01,1.13E-13,,,
7.03E-01,1.05E-13,,,
7.04E-01,9.71E-14,,,
7.05E-01,9.02E-14,,,
7.06E-01,8.38E-14,,,
7.07E-01,7.78E-14,,,
7.08E-01,7.23E-14,,,
7.09E-01,6.71E-14,,,
7.10E-01,6.23E-14,,,
