t,T
6.48E+02,6.55E-05
6.49E+02,6.62E-05
6.50E+02,6.69E-05
6.51E+02,6.76E-05
6.52E+02,6.83E-05
6.53E+02,6.90E-05
6.54E+02,6.97E-05
6.55E+02,7.05E-05
6.56E+02,7.12E-05
6.57E+02,7.19E-05
6.58E+02,7.26E-05
6.59E+02,7.34E-05
6.60E+02,7.41E-05
6.61E+02,7.49E-05
6.62E+02,7.56E-05
6.63E+02,7.64E-05
6.64E+02,7.71E-05
6.65E+02,7.79E-05
6.66E+02,7.87E-05
6.67E+02,7.95E-05
6.68E+02,8.02E-05
6.69E+02,8.10E-05
6.70E+02,8.18E-05
6.71E+02,8.26E-05
6.72E+02,8.34E-05
6.73E+02,8.42E-05
6.74E+02,8.50E-05
6.75E+02,8.59E-05
6.76E+02,8.67E-05
6.77E+02,8.75E-05
6.78E+02,8.83E-05
6.79E+02,8.92E-05
6.80E+02,9.00E-05
6.81E+02,9.09E-05
6.82E+02,9.17E-05
6.83E+02,9.26E-05
6.84E+02,9.35E-05
6.85E+02,9.43E-05
6.86E+02,9.52E-05
6.87E+02,9.61E-05
6.88E+02,9.70E-05
6.89E+02,9.79E-05
6.90E+02,9.88E-05
6.91E+02,9.97E-05
6.92E+02,1.01E-04
6.93E+02,1.01E-04
6.94E+02,1.02E-04
6.95E+02,1.03E-04
6.96E+02,1.04E-04
6.97E+02,1.05E-04
6.98E+02,1.06E-04
6.99E+02,1.07E-04
7.00E+02,1.08E-04
7.01E+02,1.09E-04
7.02E+02,1.10E-04
7.03E+02,1.11E-04
7.04E+02,1.12E-04
7.05E+02,1.13E-04
7.06E+02,1.14E-04
7.07E+02,1.15E-04
7.08E+02,1.16E-04
7.09E+02,1.17E-04
7.10E+02,1.18E-04
7.11E+02,1.19E-04
7.12E+02,1.20E-04
7.13E+02,1.21E-04
7.14E+02,1.22E-04
7.15E+02,1.23E-04
7.16E+02,1.24E-04
7.17E+02,1.25E-04
7.18E+02,1.26E-04
7.19E+02,1.27E-04
7.20E+02,1.28E-04
7.21E+02,1.29E-04
7.22E+02,1.30E-04
7.23E+02,1.31E-04
7.24E+02,1.32E-04
7.25E+02,1.33E-04
7.26E+02,1.35E-04
7.27E+02,1.36E-04
7.28E+02,1.37E-04
7.29E+02,1.38E-04
7.30E+02,1.39E-04
7.31E+02,1.40E-04
7.32E+02,1.41E-04
7.33E+02,1.42E-04
7.34E+02,1.43E-04
7.35E+02,1.45E-04
7.36E+02,1.46E-04
7.37E+02,1.47E-04
7.38E+02,1.48E-04
7.39E+02,1.49E-04
7.40E+02,1.50E-04
7.41E+02,1.52E-04
7.42E+02,1.53E-04
7.43E+02,1.54E-04
7.44E+02,1.55E-04
7.45E+02,1.56E-04
7.46E+02,1.57E-04
7.47E+02,1.59E-04
7.48E+02,1.60E-04
7.49E+02,1.61E-04
7.50E+02,1.62E-04
7.51E+02,1.64E-04
7.52E+02,1.65E-04
7.53E+02,1.66E-04
7.54E+02,1.67E-04
7.55E+02,1.68E-04
7.56E+02,1.70E-04
7.57E+02,1.71E-04
7.58E+02,1.72E-04
7.59E+02,1.74E-04
7.60E+02,1.75E-04
7.61E+02,1.76E-04
7.62E+02,1.77E-04
7.63E+02,1.79E-04
7.64E+02,1.80E-04
7.65E+02,1.81E-04
7.66E+02,1.83E-04
7.67E+02,1.84E-04
7.68E+02,1.85E-04
7.69E+02,1.87E-04
7.70E+02,1.88E-04
7.71E+02,1.89E-04
7.72E+02,1.91E-04
7.73E+02,1.92E-04
7.74E+02,1.93E-04
7.75E+02,1.95E-04
7.76E+02,1.96E-04
7.77E+02,1.97E-04
7.78E+02,1.99E-04
7.79E+02,2.00E-04
7.80E+02,2.01E-04
7.81E+02,2.03E-04
7.82E+02,2.04E-04
7.83E+02,2.06E-04
7.84E+02,2.07E-04
7.85E+02,2.08E-04
7.86E+02,2.10E-04
7.87E+02,2.11E-04
7.88E+02,2.13E-04
7.89E+02,2.14E-04
7.90E+02,2.16E-04
7.91E+02,2.17E-04
7.92E+02,2.18E-04
7.93E+02,2.20E-04
7.94E+02,2.21E-04
7.95E+02,2.23E-04
7.96E+02,2.24E-04
7.97E+02,2.26E-04
7.98E+02,2.27E-04
7.99E+02,2.29E-04
8.00E+02,2.30E-04
8.01E+02,2.32E-04
8.02E+02,2.33E-04
8.03E+02,2.35E-04
8.04E+02,2.36E-04
8.05E+02,2.38E-04
8.06E+02,2.39E-04
8.07E+02,2.41E-04
8.08E+02,2.42E-04
8.09E+02,2.44E-04
8.10E+02,2.45E-04
8.11E+02,2.47E-04
8.12E+02,2.49E-04
8.13E+02,2.50E-04
8.14E+02,2.52E-04
8.15E+02,2.53E-04
8.16E+02,2.55E-04
8.17E+02,2.56E-04
8.18E+02,2.58E-04
8.19E+02,2.60E-04
8.20E+02,2.61E-04
8.21E+02,2.63E-04
8.22E+02,2.64E-04
8.23E+02,2.66E-04
8.24E+02,2.68E-04
8.25E+02,2.69E-04
8.26E+02,2.71E-04
8.27E+02,2.73E-04
8.28E+02,2.74E-04
8.29E+02,2.76E-04
8.30E+02,2.78E-04
8.31E+02,2.79E-04
8.32E+02,2.81E-04
8.33E+02,2.83E-04
8.34E+02,2.84E-04
8.35E+02,2.86E-04
8.36E+02,2.88E-04
8.37E+02,2.89E-04
8.38E+02,2.91E-04
8.39E+02,2.93E-04
8.40E+02,2.94E-04
8.41E+02,2.96E-04
8.42E+02,2.98E-04
8.43E+02,3.00E-04
8.44E+02,3.01E-04
8.45E+02,3.03E-04
8.46E+02,3.05E-04
8.47E+02,3.06E-04
8.48E+02,3.08E-04
8.49E+02,3.10E-04
8.50E+02,3.12E-04
8.51E+02,3.13E-04
8.52E+02,3.15E-04
8.53E+02,3.17E-04
8.54E+02,3.19E-04
8.55E+02,3.21E-04
8.56E+02,3.22E-04
8.57E+02,3.24E-04
8.58E+02,3.26E-04
8.59E+02,3.28E-04
8.60E+02,3.30E-04
8.61E+02,3.31E-04
8.62E+02,3.33E-04
8.63E+02,3.35E-04
8.64E+02,3.37E-04
8.65E+02,3.39E-04
8.66E+02,3.41E-04
8.67E+02,3.42E-04
8.68E+02,3.44E-04
8.69E+02,3.46E-04
8.70E+02,3.48E-04
8.71E+02,3.50E-04
8.72E+02,3.52E-04
8.73E+02,3.54E-04
8.74E+02,3.55E-04
8.75E+02,3.57E-04
8.76E+02,3.59E-04
8.77E+02,3.61E-04
8.78E+02,3.63E-04
8.79E+02,3.65E-04
8.80E+02,3.67E-04
8.81E+02,3.69E-04
8.82E+02,3.71E-04
8.83E+02,3.73E-04
8.84E+02,3.74E-04
8.85E+02,3.76E-04
8.86E+02,3.78E-04
8.87E+02,3.80E-04
8.88E+02,3.82E-04
8.89E+02,3.84E-04
8.90E+02,3.86E-04
8.91E+02,3.88E-04
8.92E+02,3.90E-04
8.93E+02,3.92E-04
8.94E+02,3.94E-04
8.95E+02,3.96E-04
8.96E+02,3.98E-04
8.97E+02,4.00E-04
8.98E+02,4.02E-04
8.99E+02,4.04E-04
9.00E+02,4.06E-04
9.01E+02,4.08E-04
9.02E+02,4.10E-04
9.03E+02,4.12E-04
9.04E+02,4.14E-04
9.05E+02,4.16E-04
9.06E+02,4.18E-04
9.07E+02,4.20E-04
9.08E+02,4.22E-04
9.09E+02,4.24E-04
9.10E+02,4.26E-04
9.11E+02,4.28E-04
9.12E+02,4.30E-04
9.13E+02,4.32E-04
9.14E+02,4.34E-04
9.15E+02,4.37E-04
9.16E+02,4.39E-04
9.17E+02,4.41E-04
9.18E+02,4.43E-04
9.19E+02,4.45E-04
9.20E+02,4.47E-04
9.21E+02,4.49E-04
9.22E+02,4.51E-04
9.23E+02,4.53E-04
9.24E+02,4.55E-04
9.25E+02,4.57E-04
9.26E+02,4.60E-04
9.27E+02,4.62E-04
9.28E+02,4.64E-04
9.29E+02,4.66E-04
9.30E+02,4.68E-04
9.31E+02,4.70E-04
9.32E+02,4.72E-04
9.33E+02,4.75E-04
9.34E+02,4.77E-04
9.35E+02,4.79E-04
9.36E+02,4.81E-04
9.37E+02,4.83E-04
9.38E+02,4.85E-04
9.39E+02,4.88E-04
9.40E+02,4.90E-04
9.41E+02,4.92E-04
9.42E+02,4.94E-04
9.43E+02,4.96E-04
9.44E+02,4.99E-04
9.45E+02,5.01E-04
9.46E+02,5.03E-04
9.47E+02,5.05E-04
9.48E+02,5.07E-04
9.49E+02,5.10E-04
9.50E+02,5.12E-04
9.51E+02,5.14E-04
9.52E+02,5.16E-04
9.53E+02,5.18E-04
9.54E+02,5.21E-04
9.55E+02,5.23E-04
9.56E+02,5.25E-04
9.57E+02,5.27E-04
9.58E+02,5.30E-04
9.59E+02,5.32E-04
9.60E+02,5.34E-04
9.61E+02,5.37E-04
9.62E+02,5.39E-04
9.63E+02,5.41E-04
9.64E+02,5.43E-04
9.65E+02,5.46E-04
9.66E+02,5.48E-04
9.67E+02,5.50E-04
9.68E+02,5.53E-04
9.69E+02,5.55E-04
9.70E+02,5.57E-04
9.71E+02,5.59E-04
9.72E+02,5.62E-04
9.73E+02,5.64E-04
9.74E+02,5.66E-04
9.75E+02,5.69E-04
9.76E+02,5.71E-04
9.77E+02,5.73E-04
9.78E+02,5.76E-04
9.79E+02,5.78E-04
9.80E+02,5.80E-04
9.81E+02,5.83E-04
9.82E+02,5.85E-04
9.83E+02,5.87E-04
9.84E+02,5.90E-04
9.85E+02,5.92E-04
9.86E+02,5.94E-04
9.87E+02,5.97E-04
9.88E+02,5.99E-04
9.89E+02,6.02E-04
9.90E+02,6.04E-04
9.91E+02,6.06E-04
9.92E+02,6.09E-04
9.93E+02,6.11E-04
9.94E+02,6.14E-04
9.95E+02,6.16E-04
9.96E+02,6.18E-04
9.97E+02,6.21E-04
