t,T
7.53E+02,3.20E-03
7.54E+02,3.20E-03
7.55E+02,3.21E-03
7.56E+02,3.22E-03
7.57E+02,3.23E-03
7.58E+02,3.24E-03
7.59E+02,3.25E-03
7.60E+02,3.26E-03
7.61E+02,3.27E-03
7.62E+02,3.28E-03
7.63E+02,3.29E-03
7.64E+02,3.30E-03
7.65E+02,3.31E-03
7.66E+02,3.32E-03
7.67E+02,3.33E-03
7.68E+02,3.34E-03
7.69E+02,3.35E-03
7.70E+02,3.36E-03
7.71E+02,3.37E-03
7.72E+02,3.38E-03
7.73E+02,3.39E-03
7.74E+02,3.40E-03
7.75E+02,3.41E-03
7.76E+02,3.42E-03
7.77E+02,3.43E-03
7.78E+02,3.44E-03
7.79E+02,3.45E-03
7.80E+02,3.46E-03
7.81E+02,3.47E-03
7.82E+02,3.48E-03
7.83E+02,3.49E-03
7.84E+02,3.50E-03
7.85E+02,3.51E-03
7.86E+02,3.52E-03
7.87E+02,3.53E-03
7.88E+02,3.54E-03
7.89E+02,3.55E-03
7.90E+02,3.56E-03
7.91E+02,3.57E-03
7.92E+02,3.58E-03
7.93E+02,3.59E-03
7.94E+02,3.60E-03
7.95E+02,3.61E-03
7.96E+02,3.62E-03
7.97E+02,3.63E-03
7.98E+02,3.64E-03
7.99E+02,3.64E-03
8.00E+02,3.65E-03
8.01E+02,3.66E-03
8.02E+02,3.67E-03
8.03E+02,3.68E-03
8.04E+02,3.69E-03
8.05E+02,3.70E-03
8.06E+02,3.71E-03
8.07E+02,3.72E-03
8.08E+02,3.73E-03
8.09E+02,3.74E-03
8.10E+02,3.75E-03
8.11E+02,3.76E-03
8.12E+02,3.77E-03
8.13E+02,3.78E-03
8.14E+02,3.79E-03
8.15E+02,3.80E-03
8.16E+02,3.81E-03
8.17E+02,3.82E-03
8.18E+02,3.83E-03
8.19E+02,3.84E-03
8.20E+02,3.85E-03
8.21E+02,3.85E-03
8.22E+02,3.86E-03
8.23E+02,3.87E-03
8.24E+02,3.88E-03
8.25E+02,3.89E-03
8.26E+02,3.90E-03
8.27E+02,3.91E-03
8.28E+02,3.92E-03
8.29E+02,3.93E-03
8.30E+02,3.94E-03
8.31E+02,3.95E-03
8.32E+02,3.96E-03
8.33E+02,3.97E-03
8.34E+02,3.98E-03
8.35E+02,3.99E-03
8.36E+02,4.00E-03
8.37E+02,4.00E-03
8.38E+02,4.01E-03
8.39E+02,4.02E-03
8.40E+02,4.03E-03
8.41E+02,4.04E-03
8.42E+02,4.05E-03
8.43E+02,4.06E-03
8.44E+02,4.07E-03
8.45E+02,4.08E-03
8.46E+02,4.09E-03
8.47E+02,4.10E-03
8.48E+02,4.11E-03
8.49E+02,4.12E-03
8.50E+02,4.13E-03
8.51E+02,4.13E-03
8.52E+02,4.14E-03
8.53E+02,4.15E-03
8.54E+02,4.16E-03
8.55E+02,4.17E-03
8.56E+02,4.18E-03
8.57E+02,4.19E-03
8.58E+02,4.20E-03
8.59E+02,4.21E-03
8.60E+02,4.22E-03
8.61E+02,4.23E-03
8.62E+02,4.23E-03
8.63E+02,4.24E-03
8.64E+02,4.25E-03
8.65E+02,4.26E-03
8.66E+02,4.27E-03
8.67E+02,4.28E-03
8.68E+02,4.29E-03
8.69E+02,4.30E-03
8.70E+02,4.31E-03
8.71E+02,4.32E-03
8.72E+02,4.32E-03
8.73E+02,4.33E-03
8.74E+02,4.34E-03
8.75E+02,4.35E-03
8.76E+02,4.36E-03
8.77E+02,4.37E-03
8.78E+02,4.38E-03
8.79E+02,4.39E-03
8.80E+02,4.40E-03
8.81E+02,4.41E-03
8.82E+02,4.41E-03
8.83E+02,4.42E-03
8.84E+02,4.43E-03
8.85E+02,4.44E-03
8.86E+02,4.45E-03
8.87E+02,4.46E-03
8.88E+02,4.47E-03
8.89E+02,4.48E-03
8.90E+02,4.48E-03
8.91E+02,4.49E-03
8.92E+02,4.50E-03
8.93E+02,4.51E-03
8.94E+02,4.52E-03
8.95E+02,4.53E-03
8.96E+02,4.54E-03
8.97E+02,4.55E-03
