Date,Chatershaugh_No1_Shaft
13-Jan-09,-3.94
14-Jan-09,-3.93
15-Jan-09,-3.87
16-Jan-09,-3.83
17-Jan-09,-3.74
18-Jan-09,-3.65
19-Jan-09,-3.59
20-Jan-09,-3.57
21-Jan-09,-3.61
22-Jan-09,-3.50
23-Jan-09,-3.43
12-Jan-11,5.57
07-Feb-11,5.57
04-Mar-11,5.52
19-May-11,5.56
06-Jun-11,5.67
08-Jul-11,5.67
03-Aug-11,5.67
07-Sep-11,5.67
03-Oct-11,5.67
10-Nov-11,5.57
07-Dec-11,5.57
11-Jan-12,5.57
15-Feb-12,5.57
05-Mar-12,5.57
11-Apr-12,5.57
03-May-12,5.57
31-May-12,5.57
04-Jul-12,5.57
02-Aug-12,5.67
05-Sep-12,5.57
11-Oct-12,5.67
01-Nov-12,5.67
10-Dec-12,5.67
10-Jan-13,5.67
07-Feb-13,5.67
08-Mar-13,5.67
04-Apr-13,5.67
20-May-13,5.67
06-Jun-13,5.67
11-Jul-13,5.67
07-Aug-13,5.67
16-Sep-13,5.67
08-Oct-13,5.67
06-Nov-13,5.67
10-Dec-13,5.67
09-Jan-14,5.53
06-Feb-14,5.53
06-Mar-14,5.53
07-Apr-14,5.53
07-May-14,5.53
07-Jul-14,5.47
05-Aug-14,5.47
04-Sep-14,5.07
06-Oct-14,4.87
06-Nov-14,5.27
01-Dec-14,5.67
02-Feb-15,5.67
02-Mar-15,5.67
18-Aug-15,5.63
13-Oct-15,5.17
23-Nov-15,5.75
31-Mar-16,5.68
22-Apr-16,5.13
14-Jul-16,5.23
06-Oct-16,5.18
24-Nov-16,5.13
11-Jan-17,5.17
